n agents,stepcount,steptime,cooperating,defecting,coop total,defect total
64,1,0.03563427925109863,45,9,171,53
64,2,0.04158163070678711,31,17,164,60
64,3,0.0300753116607666,35,16,139,85
64,4,0.028040647506713867,42,9,144,80
64,5,0.0300750732421875,35,15,150,74
64,6,0.03208518028259277,44,10,143,81
64,7,0.03007817268371582,33,18,137,87
64,8,0.028073787689208984,36,14,150,74
64,9,0.03004312515258789,34,17,140,84
64,10,0.019712209701538086,37,13,136,88
64,11,0.046134233474731445,33,17,133,91
64,12,0.02907562255859375,35,15,145,79
64,13,0.037070512771606445,46,10,156,68
64,14,0.03208279609680176,38,15,141,83
64,15,0.030078887939453125,39,19,142,82
64,16,0.030050039291381836,41,14,147,77
64,17,0.0300447940826416,41,10,151,73
64,18,0.03104543685913086,42,9,152,72
64,19,0.03007817268371582,37,14,142,82
64,20,0.02075958251953125,34,13,135,89
64,21,0.044887542724609375,45,12,144,80
64,22,0.03512001037597656,41,10,145,79
64,23,0.030074357986450195,44,11,143,81
64,24,0.02803945541381836,42,10,158,66
64,25,0.029043197631835938,40,14,152,72
64,26,0.039069414138793945,42,9,155,69
